participant_id,condition,item_id,flagged,item_type,item_position,caught,false_alarm
C02,none,2,0,correct,2,0,0
C02,none,3,0,error,3,0,0
C02,none,4,0,correct,4,0,0
C02,none,5,0,correct,5,0,0
C02,none,6,1,error,6,1,0
C02,none,7,0,correct,7,0,0
C02,none,8,1,error,8,1,0
C02,none,9,0,correct,9,0,0
C02,none,10,1,error,10,1,0
C02,none,11,1,correct,11,0,1
C02,none,12,0,error,12,0,0
C02,none,13,0,correct,13,0,0
C02,none,14,0,error,14,0,0
C02,none,15,0,correct,15,0,0
C02,none,16,0,error,16,0,0
C02,none,17,0,correct,17,0,0
C02,none,18,0,error,18,0,0
C02,none,19,0,correct,19,0,0
C02,none,20,0,correct,20,0,0
C03,none,1,0,correct,1,0,0
C03,none,2,0,correct,2,0,0
C03,none,3,1,error,3,1,0
C03,none,4,0,correct,4,0,0
C03,none,5,0,correct,5,0,0
C03,none,6,1,error,6,1,0
C03,none,7,0,correct,7,0,0
C03,none,8,0,error,8,0,0
C03,none,9,0,correct,9,0,0
C03,none,10,0,error,10,0,0
C03,none,11,0,correct,11,0,0
C03,none,12,1,error,12,1,0
C03,none,13,0,correct,13,0,0
C03,none,14,0,error,14,0,0
C03,none,15,0,correct,15,0,0
C03,none,16,0,error,16,0,0
C03,none,17,0,correct,17,0,0
C03,none,18,1,error,18,1,0
C03,none,19,0,correct,19,0,0
C03,none,20,0,correct,20,0,0
C04,none,1,0,correct,1,0,0
C04,none,2,0,correct,2,0,0
C04,none,3,0,error,3,0,0
C04,none,4,0,correct,4,0,0
C04,none,5,0,correct,5,0,0
C04,none,6,0,error,6,0,0
C04,none,7,0,correct,7,0,0
C04,none,8,1,error,8,1,0
C04,none,9,0,correct,9,0,0
C04,none,10,0,error,10,0,0
C04,none,11,0,correct,11,0,0
C04,none,12,0,error,12,0,0
C04,none,13,0,correct,13,0,0
C04,none,14,0,error,14,0,0
C04,none,15,0,correct,15,0,0
C04,none,16,1,error,16,1,0
C04,none,17,0,correct,17,0,0
C04,none,18,0,error,18,0,0
C04,none,19,0,correct,19,0,0
C04,none,20,0,correct,20,0,0
